"ProductId" "UserId" "Score" "Time" "Summary" "Nrev" "Length" "Prod_Category" "Prod_Group"
"B005HG9ESG" "#oc-R163CP16SRRI50" 5 "2012-08-02" "Light, refreshing water!" 3 3 "Water" "Grocery"
"B005HG9ERW" "#oc-R163CP16SRRI50" 5 "2012-08-02" "Light, refreshing water!" 3 3 "Water" "Grocery"
"B005HG9ET0" "#oc-R163CP16SRRI50" 5 "2012-08-02" "Light, refreshing water!" 3 3 "Water" "Grocery"
"B006Q820X0" "#oc-R19QDOY2PXS15" 3 "2012-05-19" "Good Coffee, Bad K-cup" 1 4 "Single-Serve Capsules & Pods" "Grocery"
"B006Q820X0" "#oc-R1B9W981WGB5D0" 3 "2012-06-15" "Weak and bland" 1 3 "Single-Serve Capsules & Pods" "Grocery"
"B007TGDXMK" "#oc-R1I879FCTH83GM" 2 "2012-04-16" "Nice but a little weak" 2 4 "Single-Serve Capsules & Pods" "Grocery"
"B005ZBZM52" "#oc-R1I879FCTH83GM" 2 "2012-04-16" "Nice but a little weak" 2 4 "Single-Serve Capsules & Pods" "Grocery"
"B006Q820X0" "#oc-R1KIN7Z6UZUU8Q" 2 "2012-06-30" "Underwhelmed" 1 1 "Single-Serve Capsules & Pods" "Grocery"
"B006Q820X0" "#oc-R1OGEG6X7R7642" 4 "2012-06-05" "Worth another try!  Update to previous reviews." 1 6 "Single-Serve Capsules & Pods" "Grocery"
"B008I1XPKA" "#oc-R1P45E92XO67UX" 4 "2012-09-25" "a bit mild but tasty" 1 4 "Single-Serve Capsules & Pods" "Grocery"
"B008I1XPKA" "#oc-R1UHB5HAUGHE85" 2 "2012-10-18" "Weak" 1 1 "Single-Serve Capsules & Pods" "Grocery"
"B005ZBZLT4" "#oc-R1XE00JQIJIPUH" 2 "2012-06-18" "Not as Bold as advertised  ;(" 2 3 "Single-Serve Capsules & Pods" "Grocery"
"B007Y59HVM" "#oc-R1XE00JQIJIPUH" 2 "2012-06-18" "Not as Bold as advertised  ;(" 2 3 "Single-Serve Capsules & Pods" "Grocery"
"B008I1XPKA" "#oc-R1XK2SYVVK4FZA" 1 "2012-10-19" "Do not buy, be warned" 1 3 "Single-Serve Capsules & Pods" "Grocery"
"B007TGDXMU" "#oc-R24NJ9EAUPQTE2" 5 "2012-09-19" "please do not order this coffee!" 1 5 "Single-Serve Capsules & Pods" "Grocery"
"B006Q820X0" "#oc-R2E9Y1E0G5IIB1" 2 "2012-07-26" "I really wanted it to be goiod coffee............." 1 4 "Single-Serve Capsules & Pods" "Grocery"
"B008I1XPKA" "#oc-R2GTLUGFBPA5AP" 1 "2012-10-20" "Brooklyn Bean K cups" 1 3 "Single-Serve Capsules & Pods" "Grocery"
